Trying function: execvpe
0xeefc0: data:b'', error:b''
0xeefc4: data:b'', error:b''
0xeefc5: data:b'', error:b''
0xeefc8: data:b'', error:b''
0xeefca: data:b'', error:b''
0xeefcc: data:b'', error:b''
0xeefce: data:b'', error:b''
0xeefd0: data:b'', error:b''
0xeefd1: data:b'', error:b''
0xeefd5: data:b'', error:b''
0xeefdc: data:b'', error:b''
0xeefde: data:b'', error:b''
0xeefe2: data:b'', error:b''
0xeefe4: data:b'', error:b''
0xeefe7: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xeefed: data:b'', error:b''
0xeeff0: data:b'', error:b''
0xeeff5: data:b'', error:b''
0xeeff8: data:b'', error:b''
0xeeffb: data:b'', error:b''
0xef000: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef003: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef005: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef008: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef00b: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef00e: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef013: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef01a: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef01e: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef024: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef028: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef02f: data:b'', error:b''
0xef031: data:b'', error:b''
0xef037: data:b'', error:b''
0xef03b: data:b'', error:b''
0xef040: data:b'', error:b''
0xef041: data:b'', error:b''
0xef043: data:b'', error:b''
0xef045: data:b'', error:b''
0xef047: data:b'', error:b''
0xef049: data:b'', error:b''
0xef04a: data:b'', error:b''
0xef04b: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef050: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef057: data:b'', error:b''
0xef05c: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef061: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef064: data:b'', error:b''
0xef067: data:b'', error:b''
0xef06a: data:b'', error:b''
0xef071: data:b'', error:b''
0xef075: data:b'', error:b''
0xef07a: data:b'', error:b''
0xef07f: data:b'', error:b''
0xef082: data:b'', error:b''
0xef085: data:b'', error:b''
0xef08a: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef091: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef097: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef09b: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef09f: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef0a3: data:b'', error:b''
0xef0a7: data:b'', error:b''
0xef0ab: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef0af: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef0b2: data:b'', error:b''
0xef0b6: data:b'', error:b''
0xef0bb: data:b'', error:b''
0xef0bf: data:b'', error:b''
0xef0c1: data:b'', error:b'*** stack smashing detected ***: terminated\n'
0xef0c7: data:b'', error:b''
0xef0cb: data:b'', error:b''
